,precision,recall,f1-score,support
Apple,1.0,1.0,1.0,23.0
Banana,1.0,1.0,1.0,21.0
Blackgram,1.0,1.0,1.0,20.0
ChickPea,1.0,1.0,1.0,26.0
Coconut,1.0,1.0,1.0,27.0
Coffee,1.0,1.0,1.0,17.0
Cotton,1.0,1.0,1.0,17.0
Grapes,1.0,1.0,1.0,14.0
Jute,0.92,1.0,0.9583333333333334,23.0
KidneyBeans,1.0,1.0,1.0,20.0
Lentil,0.9166666666666666,1.0,0.9565217391304348,11.0
Maize,1.0,1.0,1.0,21.0
Mango,1.0,1.0,1.0,19.0
MothBeans,1.0,0.9583333333333334,0.9787234042553191,24.0
MungBean,1.0,1.0,1.0,19.0
Muskmelon,1.0,1.0,1.0,17.0
Orange,1.0,1.0,1.0,14.0
Papaya,1.0,1.0,1.0,23.0
PigeonPeas,1.0,1.0,1.0,23.0
Pomegranate,1.0,1.0,1.0,23.0
Rice,1.0,0.8947368421052632,0.9444444444444444,19.0
Watermelon,1.0,1.0,1.0,19.0
accuracy,0.9931818181818182,0.9931818181818182,0.9931818181818182,0.9931818181818182
macro avg,0.9925757575757576,0.9933213716108454,0.9926374055074331,440.0
weighted avg,0.9937348484848485,0.9931818181818182,0.9931754816901672,440.0
